,evaluation,with_aer,method,depth,graph_type,evaluation_label,method_label,instance
482,MPS,False,RTS_MPS.json,2,erdos_renyi,MPS (Quimb),Recursive TS,000_50nodes_erdosrenyi20percent.json
517,MPS,False,RTS_MPS.json,2,heavy_hex,MPS (Quimb),Recursive TS,000_7_3_heavyhex_144nodes_weighted.json
503,MPS,False,RTS_MPS.json,2,line_to_full,MPS (Quimb),Recursive TS,001_100nodes_10swap_layers.json
490,MPS,False,RTS_MPS.json,2,line_to_full,MPS (Quimb),Recursive TS,001_100nodes_1swap_layers.json
497,MPS,False,RTS_MPS.json,2,line_to_full,MPS (Quimb),Recursive TS,001_100nodes_2swap_layers.json
514,MPS,False,RTS_MPS.json,2,line_to_full,MPS (Quimb),Recursive TS,001_100nodes_3swap_layers.json
496,MPS,False,RTS_MPS.json,2,line_to_full,MPS (Quimb),Recursive TS,001_100nodes_4swap_layers.json
513,MPS,False,RTS_MPS.json,2,line_to_full,MPS (Quimb),Recursive TS,001_100nodes_5swap_layers.json
507,MPS,False,RTS_MPS.json,2,line_to_full,MPS (Quimb),Recursive TS,001_100nodes_6swap_layers.json
487,MPS,False,RTS_MPS.json,2,line_to_full,MPS (Quimb),Recursive TS,001_100nodes_7swap_layers.json
510,MPS,False,RTS_MPS.json,2,line_to_full,MPS (Quimb),Recursive TS,001_100nodes_8swap_layers.json
506,MPS,False,RTS_MPS.json,2,line_to_full,MPS (Quimb),Recursive TS,001_100nodes_9swap_layers.json
488,MPS,False,RTS_MPS.json,2,random_regular,MPS (Quimb),Recursive TS,001_100nodes_random3regular.json
500,MPS,False,RTS_MPS.json,2,random_regular,MPS (Quimb),Recursive TS,001_100nodes_random4regular.json
481,MPS,False,RTS_MPS.json,2,random_regular,MPS (Quimb),Recursive TS,001_100nodes_random5regular.json
484,MPS,False,RTS_MPS.json,2,random_regular,MPS (Quimb),Recursive TS,001_100nodes_random6regular.json
515,MPS,False,RTS_MPS.json,2,random_regular,MPS (Quimb),Recursive TS,001_100nodes_random7regular.json
501,MPS,False,RTS_MPS.json,2,random_regular,MPS (Quimb),Recursive TS,001_100nodes_random8regular.json
489,MPS,False,RTS_MPS.json,2,random_regular,MPS (Quimb),Recursive TS,001_100nodes_random9regular.json
516,MPS,False,RTS_MPS.json,2,erdos_renyi,MPS (Quimb),Recursive TS,001_50nodes_erdosrenyi20percent.json
486,MPS,False,RTS_MPS.json,2,heavy_hex,MPS (Quimb),Recursive TS,001_7_3_heavyhex_144nodes_weighted.json
495,MPS,False,RTS_MPS.json,2,erdos_renyi,MPS (Quimb),Recursive TS,002_50nodes_erdosrenyi20percent.json
494,MPS,False,RTS_MPS.json,2,heavy_hex,MPS (Quimb),Recursive TS,002_7_3_heavyhex_144nodes_weighted.json
511,MPS,False,RTS_MPS.json,2,erdos_renyi,MPS (Quimb),Recursive TS,003_50nodes_erdosrenyi20percent.json
509,MPS,False,RTS_MPS.json,2,heavy_hex,MPS (Quimb),Recursive TS,003_7_3_heavyhex_144nodes_weighted.json
502,MPS,False,RTS_MPS.json,2,erdos_renyi,MPS (Quimb),Recursive TS,004_50nodes_erdosrenyi20percent.json
485,MPS,False,RTS_MPS.json,2,heavy_hex,MPS (Quimb),Recursive TS,004_7_3_heavyhex_144nodes_weighted.json
491,MPS,False,RTS_MPS.json,2,erdos_renyi,MPS (Quimb),Recursive TS,005_50nodes_erdosrenyi20percent.json
508,MPS,False,RTS_MPS.json,2,heavy_hex,MPS (Quimb),Recursive TS,005_7_3_heavyhex_144nodes_weighted.json
483,MPS,False,RTS_MPS.json,2,erdos_renyi,MPS (Quimb),Recursive TS,006_50nodes_erdosrenyi20percent.json
512,MPS,False,RTS_MPS.json,2,heavy_hex,MPS (Quimb),Recursive TS,006_7_3_heavyhex_144nodes_weighted.json
492,MPS,False,RTS_MPS.json,2,erdos_renyi,MPS (Quimb),Recursive TS,007_50nodes_erdosrenyi20percent.json
498,MPS,False,RTS_MPS.json,2,heavy_hex,MPS (Quimb),Recursive TS,007_7_3_heavyhex_144nodes_weighted.json
504,MPS,False,RTS_MPS.json,2,erdos_renyi,MPS (Quimb),Recursive TS,008_50nodes_erdosrenyi20percent.json
499,MPS,False,RTS_MPS.json,2,heavy_hex,MPS (Quimb),Recursive TS,008_7_3_heavyhex_144nodes_weighted.json
505,MPS,False,RTS_MPS.json,2,erdos_renyi,MPS (Quimb),Recursive TS,009_50nodes_erdosrenyi20percent.json
493,MPS,False,RTS_MPS.json,2,heavy_hex,MPS (Quimb),Recursive TS,009_7_3_heavyhex_144nodes_weighted.json
445,MPS,False,RTS_MPS.json,3,erdos_renyi,MPS (Quimb),Recursive TS,000_50nodes_erdosrenyi20percent.json
480,MPS,False,RTS_MPS.json,3,heavy_hex,MPS (Quimb),Recursive TS,000_7_3_heavyhex_144nodes_weighted.json
479,MPS,False,RTS_MPS.json,3,line_to_full,MPS (Quimb),Recursive TS,001_100nodes_10swap_layers.json
454,MPS,False,RTS_MPS.json,3,line_to_full,MPS (Quimb),Recursive TS,001_100nodes_1swap_layers.json
461,MPS,False,RTS_MPS.json,3,line_to_full,MPS (Quimb),Recursive TS,001_100nodes_2swap_layers.json
477,MPS,False,RTS_MPS.json,3,line_to_full,MPS (Quimb),Recursive TS,001_100nodes_3swap_layers.json
460,MPS,False,RTS_MPS.json,3,line_to_full,MPS (Quimb),Recursive TS,001_100nodes_4swap_layers.json
476,MPS,False,RTS_MPS.json,3,line_to_full,MPS (Quimb),Recursive TS,001_100nodes_5swap_layers.json
470,MPS,False,RTS_MPS.json,3,line_to_full,MPS (Quimb),Recursive TS,001_100nodes_6swap_layers.json
450,MPS,False,RTS_MPS.json,3,line_to_full,MPS (Quimb),Recursive TS,001_100nodes_7swap_layers.json
475,MPS,False,RTS_MPS.json,3,line_to_full,MPS (Quimb),Recursive TS,001_100nodes_8swap_layers.json
468,MPS,False,RTS_MPS.json,3,line_to_full,MPS (Quimb),Recursive TS,001_100nodes_9swap_layers.json
451,MPS,False,RTS_MPS.json,3,random_regular,MPS (Quimb),Recursive TS,001_100nodes_random3regular.json
464,MPS,False,RTS_MPS.json,3,random_regular,MPS (Quimb),Recursive TS,001_100nodes_random4regular.json
444,MPS,False,RTS_MPS.json,3,random_regular,MPS (Quimb),Recursive TS,001_100nodes_random5regular.json
447,MPS,False,RTS_MPS.json,3,random_regular,MPS (Quimb),Recursive TS,001_100nodes_random6regular.json
478,MPS,False,RTS_MPS.json,3,random_regular,MPS (Quimb),Recursive TS,001_100nodes_random7regular.json
465,MPS,False,RTS_MPS.json,3,random_regular,MPS (Quimb),Recursive TS,001_100nodes_random8regular.json
452,MPS,False,RTS_MPS.json,3,random_regular,MPS (Quimb),Recursive TS,001_100nodes_random9regular.json
453,MPS,False,RTS_MPS.json,3,erdos_renyi,MPS (Quimb),Recursive TS,001_50nodes_erdosrenyi20percent.json
448,MPS,False,RTS_MPS.json,3,heavy_hex,MPS (Quimb),Recursive TS,001_7_3_heavyhex_144nodes_weighted.json
459,MPS,False,RTS_MPS.json,3,erdos_renyi,MPS (Quimb),Recursive TS,002_50nodes_erdosrenyi20percent.json
458,MPS,False,RTS_MPS.json,3,heavy_hex,MPS (Quimb),Recursive TS,002_7_3_heavyhex_144nodes_weighted.json
473,MPS,False,RTS_MPS.json,3,erdos_renyi,MPS (Quimb),Recursive TS,003_50nodes_erdosrenyi20percent.json
471,MPS,False,RTS_MPS.json,3,heavy_hex,MPS (Quimb),Recursive TS,003_7_3_heavyhex_144nodes_weighted.json
466,MPS,False,RTS_MPS.json,3,erdos_renyi,MPS (Quimb),Recursive TS,004_50nodes_erdosrenyi20percent.json
449,MPS,False,RTS_MPS.json,3,heavy_hex,MPS (Quimb),Recursive TS,004_7_3_heavyhex_144nodes_weighted.json
455,MPS,False,RTS_MPS.json,3,erdos_renyi,MPS (Quimb),Recursive TS,005_50nodes_erdosrenyi20percent.json
472,MPS,False,RTS_MPS.json,3,heavy_hex,MPS (Quimb),Recursive TS,005_7_3_heavyhex_144nodes_weighted.json
446,MPS,False,RTS_MPS.json,3,erdos_renyi,MPS (Quimb),Recursive TS,006_50nodes_erdosrenyi20percent.json
474,MPS,False,RTS_MPS.json,3,heavy_hex,MPS (Quimb),Recursive TS,006_7_3_heavyhex_144nodes_weighted.json
457,MPS,False,RTS_MPS.json,3,erdos_renyi,MPS (Quimb),Recursive TS,007_50nodes_erdosrenyi20percent.json
462,MPS,False,RTS_MPS.json,3,heavy_hex,MPS (Quimb),Recursive TS,007_7_3_heavyhex_144nodes_weighted.json
467,MPS,False,RTS_MPS.json,3,erdos_renyi,MPS (Quimb),Recursive TS,008_50nodes_erdosrenyi20percent.json
463,MPS,False,RTS_MPS.json,3,heavy_hex,MPS (Quimb),Recursive TS,008_7_3_heavyhex_144nodes_weighted.json
469,MPS,False,RTS_MPS.json,3,erdos_renyi,MPS (Quimb),Recursive TS,009_50nodes_erdosrenyi20percent.json
456,MPS,False,RTS_MPS.json,3,heavy_hex,MPS (Quimb),Recursive TS,009_7_3_heavyhex_144nodes_weighted.json
519,MPS,False,RTS_MPS.json,4,erdos_renyi,MPS (Quimb),Recursive TS,000_50nodes_erdosrenyi20percent.json
554,MPS,False,RTS_MPS.json,4,heavy_hex,MPS (Quimb),Recursive TS,000_7_3_heavyhex_144nodes_weighted.json
540,MPS,False,RTS_MPS.json,4,line_to_full,MPS (Quimb),Recursive TS,001_100nodes_10swap_layers.json
527,MPS,False,RTS_MPS.json,4,line_to_full,MPS (Quimb),Recursive TS,001_100nodes_1swap_layers.json
534,MPS,False,RTS_MPS.json,4,line_to_full,MPS (Quimb),Recursive TS,001_100nodes_2swap_layers.json
551,MPS,False,RTS_MPS.json,4,line_to_full,MPS (Quimb),Recursive TS,001_100nodes_3swap_layers.json
533,MPS,False,RTS_MPS.json,4,line_to_full,MPS (Quimb),Recursive TS,001_100nodes_4swap_layers.json
550,MPS,False,RTS_MPS.json,4,line_to_full,MPS (Quimb),Recursive TS,001_100nodes_5swap_layers.json
544,MPS,False,RTS_MPS.json,4,line_to_full,MPS (Quimb),Recursive TS,001_100nodes_6swap_layers.json
524,MPS,False,RTS_MPS.json,4,line_to_full,MPS (Quimb),Recursive TS,001_100nodes_7swap_layers.json
548,MPS,False,RTS_MPS.json,4,line_to_full,MPS (Quimb),Recursive TS,001_100nodes_8swap_layers.json
543,MPS,False,RTS_MPS.json,4,line_to_full,MPS (Quimb),Recursive TS,001_100nodes_9swap_layers.json
525,MPS,False,RTS_MPS.json,4,random_regular,MPS (Quimb),Recursive TS,001_100nodes_random3regular.json
537,MPS,False,RTS_MPS.json,4,random_regular,MPS (Quimb),Recursive TS,001_100nodes_random4regular.json
518,MPS,False,RTS_MPS.json,4,random_regular,MPS (Quimb),Recursive TS,001_100nodes_random5regular.json
521,MPS,False,RTS_MPS.json,4,random_regular,MPS (Quimb),Recursive TS,001_100nodes_random6regular.json
552,MPS,False,RTS_MPS.json,4,random_regular,MPS (Quimb),Recursive TS,001_100nodes_random7regular.json
538,MPS,False,RTS_MPS.json,4,random_regular,MPS (Quimb),Recursive TS,001_100nodes_random8regular.json
