,instance,method,depth
308,000_100nodes_2swap_layers.json,F_MPS.json,6
418,000_100nodes_2swap_layers.json,I_MPS.json,6
68,000_100nodes_2swap_layers.json,LR_MPSAer_angle_opt.json,6
108,000_100nodes_2swap_layers.json,LR_MPSAer_no_opt.json,6
458,000_100nodes_2swap_layers.json,LR_MPS_angle_opt.json,6
268,000_100nodes_2swap_layers.json,LR_MPS_no_opt.json,6
228,000_100nodes_2swap_layers.json,LR_PP_angle_opt.json,6
188,000_100nodes_2swap_layers.json,LR_PP_no_opt.json,6
378,000_100nodes_2swap_layers.json,RTS_MPS.json,6
28,000_100nodes_2swap_layers.json,RTS_MPSAer.json,6
148,000_100nodes_2swap_layers.json,RTS_PP.json,6
342,000_100nodes_2swap_layers.json,TQA_MPS_opt.json,6
285,000_100nodes_random3regular.json,F_MPS.json,6
394,000_100nodes_random3regular.json,I_MPS.json,6
44,000_100nodes_random3regular.json,LR_MPSAer_angle_opt.json,6
86,000_100nodes_random3regular.json,LR_MPSAer_no_opt.json,6
433,000_100nodes_random3regular.json,LR_MPS_angle_opt.json,6
244,000_100nodes_random3regular.json,LR_MPS_no_opt.json,6
204,000_100nodes_random3regular.json,LR_PP_angle_opt.json,6
163,000_100nodes_random3regular.json,LR_PP_no_opt.json,6
353,000_100nodes_random3regular.json,RTS_MPS.json,6
3,000_100nodes_random3regular.json,RTS_MPSAer.json,6
125,000_100nodes_random3regular.json,RTS_PP.json,6
323,000_100nodes_random3regular.json,TQA_MPS_opt.json,6
296,000_70nodes_erdosrenyi20percent.json,F_MPS.json,6
406,000_70nodes_erdosrenyi20percent.json,I_MPS.json,6
56,000_70nodes_erdosrenyi20percent.json,LR_MPSAer_angle_opt.json,6
96,000_70nodes_erdosrenyi20percent.json,LR_MPSAer_no_opt.json,6
446,000_70nodes_erdosrenyi20percent.json,LR_MPS_angle_opt.json,6
256,000_70nodes_erdosrenyi20percent.json,LR_MPS_no_opt.json,6
216,000_70nodes_erdosrenyi20percent.json,LR_PP_angle_opt.json,6
176,000_70nodes_erdosrenyi20percent.json,LR_PP_no_opt.json,6
366,000_70nodes_erdosrenyi20percent.json,RTS_MPS.json,6
16,000_70nodes_erdosrenyi20percent.json,RTS_MPSAer.json,6
136,000_70nodes_erdosrenyi20percent.json,RTS_PP.json,6
332,000_70nodes_erdosrenyi20percent.json,TQA_MPS_opt.json,6
319,000_7_3_heavyhex_144nodes_weighted.json,F_MPS.json,6
429,000_7_3_heavyhex_144nodes_weighted.json,I_MPS.json,6
79,000_7_3_heavyhex_144nodes_weighted.json,LR_MPSAer_angle_opt.json,6
119,000_7_3_heavyhex_144nodes_weighted.json,LR_MPSAer_no_opt.json,6
469,000_7_3_heavyhex_144nodes_weighted.json,LR_MPS_angle_opt.json,6
279,000_7_3_heavyhex_144nodes_weighted.json,LR_MPS_no_opt.json,6
239,000_7_3_heavyhex_144nodes_weighted.json,LR_PP_angle_opt.json,6
199,000_7_3_heavyhex_144nodes_weighted.json,LR_PP_no_opt.json,6
389,000_7_3_heavyhex_144nodes_weighted.json,RTS_MPS.json,6
39,000_7_3_heavyhex_144nodes_weighted.json,RTS_MPSAer.json,6
159,000_7_3_heavyhex_144nodes_weighted.json,RTS_PP.json,6
292,001_100nodes_2swap_layers.json,F_MPS.json,6
402,001_100nodes_2swap_layers.json,I_MPS.json,6
52,001_100nodes_2swap_layers.json,LR_MPSAer_angle_opt.json,6
92,001_100nodes_2swap_layers.json,LR_MPSAer_no_opt.json,6
442,001_100nodes_2swap_layers.json,LR_MPS_angle_opt.json,6
252,001_100nodes_2swap_layers.json,LR_MPS_no_opt.json,6
212,001_100nodes_2swap_layers.json,LR_PP_angle_opt.json,6
172,001_100nodes_2swap_layers.json,LR_PP_no_opt.json,6
362,001_100nodes_2swap_layers.json,RTS_MPS.json,6
12,001_100nodes_2swap_layers.json,RTS_MPSAer.json,6
132,001_100nodes_2swap_layers.json,RTS_PP.json,6
329,001_100nodes_2swap_layers.json,TQA_MPS_opt.json,6
289,001_100nodes_random3regular.json,F_MPS.json,6
