evaluation,method,instance
MPS,FAAer_opt.json,000_40nodes_erdosrenyi20percent.json
MPS,FAAer_opt.json,001_40nodes_erdosrenyi20percent.json
MPS,FAAer_opt.json,002_40nodes_erdosrenyi20percent.json
MPS,FAAer_opt.json,003_40nodes_erdosrenyi20percent.json
MPS,FAAer_opt.json,004_40nodes_erdosrenyi20percent.json
MPS,FAAer_opt.json,005_40nodes_erdosrenyi20percent.json
MPS,FAAer_opt.json,006_40nodes_erdosrenyi20percent.json
MPS,FAAer_opt.json,007_40nodes_erdosrenyi20percent.json
MPS,FAAer_opt.json,008_40nodes_erdosrenyi20percent.json
MPS,FAAer_opt.json,009_40nodes_erdosrenyi20percent.json
MPS,FAAer_opt.json,000_4_1_heavyhex_39nodes_weighted.json
MPS,FAAer_opt.json,001_4_1_heavyhex_39nodes_weighted.json
MPS,FAAer_opt.json,002_4_1_heavyhex_39nodes_weighted.json
MPS,FAAer_opt.json,003_4_1_heavyhex_39nodes_weighted.json
MPS,FAAer_opt.json,004_4_1_heavyhex_39nodes_weighted.json
MPS,FAAer_opt.json,005_4_1_heavyhex_39nodes_weighted.json
MPS,FAAer_opt.json,006_4_1_heavyhex_39nodes_weighted.json
MPS,FAAer_opt.json,007_4_1_heavyhex_39nodes_weighted.json
MPS,FAAer_opt.json,008_4_1_heavyhex_39nodes_weighted.json
MPS,FAAer_opt.json,009_4_1_heavyhex_39nodes_weighted.json
MPS,FAer.json,000_100nodes_0swap_layers.json
MPS,FAer.json,000_100nodes_1swap_layers.json
MPS,FAer.json,000_100nodes_3swap_layers.json
MPS,FAer.json,000_100nodes_4swap_layers.json
MPS,FAer.json,000_40nodes_12swap_layers.json
MPS,FAer.json,000_40nodes_8swap_layers.json
MPS,FAer.json,001_100nodes_0swap_layers.json
MPS,FAer.json,001_100nodes_1swap_layers.json
MPS,FAer.json,001_100nodes_3swap_layers.json
MPS,FAer.json,001_100nodes_4swap_layers.json
MPS,FAer.json,001_40nodes_12swap_layers.json
MPS,FAer.json,001_40nodes_8swap_layers.json
MPS,FAer.json,002_100nodes_0swap_layers.json
MPS,FAer.json,002_100nodes_1swap_layers.json
MPS,FAer.json,002_100nodes_3swap_layers.json
MPS,FAer.json,002_100nodes_4swap_layers.json
MPS,FAer.json,002_40nodes_12swap_layers.json
MPS,FAer.json,002_40nodes_8swap_layers.json
MPS,FAer.json,003_100nodes_0swap_layers.json
MPS,FAer.json,003_100nodes_1swap_layers.json
MPS,FAer.json,003_40nodes_12swap_layers.json
MPS,FAer.json,003_40nodes_8swap_layers.json
MPS,FAer.json,004_40nodes_12swap_layers.json
MPS,FAer.json,004_40nodes_8swap_layers.json
MPS,FAer.json,005_40nodes_12swap_layers.json
MPS,FAer.json,005_40nodes_8swap_layers.json
MPS,FAer.json,006_40nodes_12swap_layers.json
MPS,FAer.json,006_40nodes_8swap_layers.json
MPS,FAer.json,007_40nodes_12swap_layers.json
MPS,FAer.json,007_40nodes_8swap_layers.json
MPS,FAer.json,008_40nodes_12swap_layers.json
MPS,FAer.json,008_40nodes_8swap_layers.json
MPS,FAer.json,009_40nodes_12swap_layers.json
MPS,FAer.json,009_40nodes_8swap_layers.json
MPS,TQAAer_opt.json,000_100nodes_0swap_layers.json
MPS,TQAAer_opt.json,000_100nodes_1swap_layers.json
MPS,TQAAer_opt.json,000_100nodes_3swap_layers.json
MPS,TQAAer_opt.json,000_100nodes_4swap_layers.json
MPS,TQAAer_opt.json,000_40nodes_12swap_layers.json
MPS,TQAAer_opt.json,000_40nodes_8swap_layers.json
MPS,TQAAer_opt.json,001_100nodes_0swap_layers.json
MPS,TQAAer_opt.json,001_100nodes_1swap_layers.json
MPS,TQAAer_opt.json,001_100nodes_3swap_layers.json
MPS,TQAAer_opt.json,001_100nodes_4swap_layers.json
MPS,TQAAer_opt.json,001_40nodes_12swap_layers.json
MPS,TQAAer_opt.json,001_40nodes_8swap_layers.json
MPS,TQAAer_opt.json,002_100nodes_0swap_layers.json
MPS,TQAAer_opt.json,002_100nodes_1swap_layers.json
