,instance,method,depth
0,000_60nodes_random4regular.json,F_PP.json,10
1,000_40nodes_12swap_layers.json,F_PP.json,10
2,004_60nodes_random4regular.json,F_PP.json,10
3,005_60nodes_random4regular.json,F_PP.json,10
4,007_40nodes_random4regular.json,F_PP.json,10
5,006_40nodes_8swap_layers.json,F_PP.json,10
6,002_60nodes_random4regular.json,F_PP.json,10
7,004_40nodes_random4regular.json,F_PP.json,10
8,004_40nodes_12swap_layers.json,F_PP.json,10
9,003_40nodes_12swap_layers.json,F_PP.json,10
10,009_40nodes_random4regular.json,F_PP.json,10
11,002_40nodes_random4regular.json,F_PP.json,10
12,003_30nodes_random3regular.json,F_PP.json,10
13,006_70nodes_random3regular.json,F_PP.json,10
14,005_40nodes_8swap_layers.json,F_PP.json,10
15,003_70nodes_random3regular.json,F_PP.json,10
16,007_60nodes_random4regular.json,F_PP.json,10
17,001_60nodes_random4regular.json,F_PP.json,10
18,003_60nodes_random4regular.json,F_PP.json,10
19,003_40nodes_8swap_layers.json,F_PP.json,10
20,001_30nodes_random3regular.json,F_PP.json,10
21,001_40nodes_12swap_layers.json,F_PP.json,10
22,006_40nodes_random4regular.json,F_PP.json,10
23,000_40nodes_random4regular.json,F_PP.json,10
24,001_40nodes_8swap_layers.json,F_PP.json,10
25,004_40nodes_8swap_layers.json,F_PP.json,10
26,000_70nodes_random3regular.json,F_PP.json,10
27,009_60nodes_random4regular.json,F_PP.json,10
28,002_40nodes_12swap_layers.json,F_PP.json,10
29,008_60nodes_random4regular.json,F_PP.json,10
30,002_40nodes_8swap_layers.json,F_PP.json,10
31,003_40nodes_random4regular.json,F_PP.json,10
32,007_40nodes_8swap_layers.json,F_PP.json,10
33,007_30nodes_random3regular.json,F_PP.json,10
34,001_70nodes_random3regular.json,F_PP.json,10
35,006_30nodes_random3regular.json,F_PP.json,10
36,009_70nodes_random3regular.json,F_PP.json,10
37,005_30nodes_random3regular.json,F_PP.json,10
38,008_70nodes_random3regular.json,F_PP.json,10
39,005_40nodes_12swap_layers.json,F_PP.json,10
40,009_30nodes_random3regular.json,F_PP.json,10
41,002_70nodes_random3regular.json,F_PP.json,10
42,008_40nodes_8swap_layers.json,F_PP.json,10
43,007_70nodes_random3regular.json,F_PP.json,10
44,009_40nodes_12swap_layers.json,F_PP.json,10
45,008_40nodes_12swap_layers.json,F_PP.json,10
46,005_40nodes_random4regular.json,F_PP.json,10
47,007_40nodes_12swap_layers.json,F_PP.json,10
48,009_40nodes_8swap_layers.json,F_PP.json,10
49,000_30nodes_random3regular.json,F_PP.json,10
50,008_40nodes_random4regular.json,F_PP.json,10
51,006_60nodes_random4regular.json,F_PP.json,10
52,006_40nodes_12swap_layers.json,F_PP.json,10
53,001_40nodes_random4regular.json,F_PP.json,10
54,008_30nodes_random3regular.json,F_PP.json,10
55,005_70nodes_random3regular.json,F_PP.json,10
56,002_30nodes_random3regular.json,F_PP.json,10
57,004_70nodes_random3regular.json,F_PP.json,10
