,instance,method,depth
95,000_100nodes_2swap_layers.json,F_MPS.json,6
245,000_100nodes_2swap_layers.json,I_MPS.json,6
15,000_100nodes_2swap_layers.json,LR_MPSAer_angle_opt.json,6
205,000_100nodes_2swap_layers.json,LR_MPS_angle_opt.json,6
285,000_100nodes_2swap_layers.json,LR_PP_angle_opt.json,6
165,000_100nodes_2swap_layers.json,RTS_MPS.json,6
55,000_100nodes_2swap_layers.json,RTS_MPSAer.json,6
325,000_100nodes_2swap_layers.json,RTS_PP.json,6
132,000_100nodes_2swap_layers.json,TQA_MPS_opt.json,6
100,000_100nodes_random3regular.json,F_MPS.json,6
249,000_100nodes_random3regular.json,I_MPS.json,6
19,000_100nodes_random3regular.json,LR_MPSAer_angle_opt.json,6
209,000_100nodes_random3regular.json,LR_MPS_angle_opt.json,6
289,000_100nodes_random3regular.json,LR_PP_angle_opt.json,6
170,000_100nodes_random3regular.json,RTS_MPS.json,6
60,000_100nodes_random3regular.json,RTS_MPSAer.json,6
329,000_100nodes_random3regular.json,RTS_PP.json,6
137,000_100nodes_random3regular.json,TQA_MPS_opt.json,6
82,000_70nodes_erdosrenyi20percent.json,F_MPS.json,6
232,000_70nodes_erdosrenyi20percent.json,I_MPS.json,6
2,000_70nodes_erdosrenyi20percent.json,LR_MPSAer_angle_opt.json,6
192,000_70nodes_erdosrenyi20percent.json,LR_MPS_angle_opt.json,6
272,000_70nodes_erdosrenyi20percent.json,LR_PP_angle_opt.json,6
152,000_70nodes_erdosrenyi20percent.json,RTS_MPS.json,6
42,000_70nodes_erdosrenyi20percent.json,RTS_MPSAer.json,6
312,000_70nodes_erdosrenyi20percent.json,RTS_PP.json,6
122,000_70nodes_erdosrenyi20percent.json,TQA_MPS_opt.json,6
113,000_7_3_heavyhex_144nodes_weighted.json,F_MPS.json,6
263,000_7_3_heavyhex_144nodes_weighted.json,I_MPS.json,6
33,000_7_3_heavyhex_144nodes_weighted.json,LR_MPSAer_angle_opt.json,6
223,000_7_3_heavyhex_144nodes_weighted.json,LR_MPS_angle_opt.json,6
303,000_7_3_heavyhex_144nodes_weighted.json,LR_PP_angle_opt.json,6
183,000_7_3_heavyhex_144nodes_weighted.json,RTS_MPS.json,6
73,000_7_3_heavyhex_144nodes_weighted.json,RTS_MPSAer.json,6
343,000_7_3_heavyhex_144nodes_weighted.json,RTS_PP.json,6
85,001_100nodes_2swap_layers.json,F_MPS.json,6
236,001_100nodes_2swap_layers.json,I_MPS.json,6
6,001_100nodes_2swap_layers.json,LR_MPSAer_angle_opt.json,6
196,001_100nodes_2swap_layers.json,LR_MPS_angle_opt.json,6
276,001_100nodes_2swap_layers.json,LR_PP_angle_opt.json,6
155,001_100nodes_2swap_layers.json,RTS_MPS.json,6
45,001_100nodes_2swap_layers.json,RTS_MPSAer.json,6
315,001_100nodes_2swap_layers.json,RTS_PP.json,6
125,001_100nodes_2swap_layers.json,TQA_MPS_opt.json,6
91,001_100nodes_random3regular.json,F_MPS.json,6
241,001_100nodes_random3regular.json,I_MPS.json,6
11,001_100nodes_random3regular.json,LR_MPSAer_angle_opt.json,6
201,001_100nodes_random3regular.json,LR_MPS_angle_opt.json,6
281,001_100nodes_random3regular.json,LR_PP_angle_opt.json,6
161,001_100nodes_random3regular.json,RTS_MPS.json,6
51,001_100nodes_random3regular.json,RTS_MPSAer.json,6
321,001_100nodes_random3regular.json,RTS_PP.json,6
130,001_100nodes_random3regular.json,TQA_MPS_opt.json,6
97,001_70nodes_erdosrenyi20percent.json,F_MPS.json,6
247,001_70nodes_erdosrenyi20percent.json,I_MPS.json,6
17,001_70nodes_erdosrenyi20percent.json,LR_MPSAer_angle_opt.json,6
207,001_70nodes_erdosrenyi20percent.json,LR_MPS_angle_opt.json,6
287,001_70nodes_erdosrenyi20percent.json,LR_PP_angle_opt.json,6
168,001_70nodes_erdosrenyi20percent.json,RTS_MPS.json,6
57,001_70nodes_erdosrenyi20percent.json,RTS_MPSAer.json,6
327,001_70nodes_erdosrenyi20percent.json,RTS_PP.json,6
135,001_70nodes_erdosrenyi20percent.json,TQA_MPS_opt.json,6
110,001_7_3_heavyhex_144nodes_weighted.json,F_MPS.json,6
260,001_7_3_heavyhex_144nodes_weighted.json,I_MPS.json,6
30,001_7_3_heavyhex_144nodes_weighted.json,LR_MPSAer_angle_opt.json,6
220,001_7_3_heavyhex_144nodes_weighted.json,LR_MPS_angle_opt.json,6
300,001_7_3_heavyhex_144nodes_weighted.json,LR_PP_angle_opt.json,6
180,001_7_3_heavyhex_144nodes_weighted.json,RTS_MPS.json,6
70,001_7_3_heavyhex_144nodes_weighted.json,RTS_MPSAer.json,6
340,001_7_3_heavyhex_144nodes_weighted.json,RTS_PP.json,6
84,002_100nodes_2swap_layers.json,F_MPS.json,6
234,002_100nodes_2swap_layers.json,I_MPS.json,6
4,002_100nodes_2swap_layers.json,LR_MPSAer_angle_opt.json,6
194,002_100nodes_2swap_layers.json,LR_MPS_angle_opt.json,6
274,002_100nodes_2swap_layers.json,LR_PP_angle_opt.json,6
154,002_100nodes_2swap_layers.json,RTS_MPS.json,6
44,002_100nodes_2swap_layers.json,RTS_MPSAer.json,6
314,002_100nodes_2swap_layers.json,RTS_PP.json,6
124,002_100nodes_2swap_layers.json,TQA_MPS_opt.json,6
96,002_100nodes_random3regular.json,F_MPS.json,6
246,002_100nodes_random3regular.json,I_MPS.json,6
16,002_100nodes_random3regular.json,LR_MPSAer_angle_opt.json,6
206,002_100nodes_random3regular.json,LR_MPS_angle_opt.json,6
286,002_100nodes_random3regular.json,LR_PP_angle_opt.json,6
166,002_100nodes_random3regular.json,RTS_MPS.json,6
56,002_100nodes_random3regular.json,RTS_MPSAer.json,6
326,002_100nodes_random3regular.json,RTS_PP.json,6
133,002_100nodes_random3regular.json,TQA_MPS_opt.json,6
99,002_70nodes_erdosrenyi20percent.json,F_MPS.json,6
250,002_70nodes_erdosrenyi20percent.json,I_MPS.json,6
20,002_70nodes_erdosrenyi20percent.json,LR_MPSAer_angle_opt.json,6
210,002_70nodes_erdosrenyi20percent.json,LR_MPS_angle_opt.json,6
290,002_70nodes_erdosrenyi20percent.json,LR_PP_angle_opt.json,6
169,002_70nodes_erdosrenyi20percent.json,RTS_MPS.json,6
59,002_70nodes_erdosrenyi20percent.json,RTS_MPSAer.json,6
330,002_70nodes_erdosrenyi20percent.json,RTS_PP.json,6
136,002_70nodes_erdosrenyi20percent.json,TQA_MPS_opt.json,6
93,002_7_3_heavyhex_144nodes_weighted.json,F_MPS.json,6
243,002_7_3_heavyhex_144nodes_weighted.json,I_MPS.json,6
13,002_7_3_heavyhex_144nodes_weighted.json,LR_MPSAer_angle_opt.json,6
203,002_7_3_heavyhex_144nodes_weighted.json,LR_MPS_angle_opt.json,6
283,002_7_3_heavyhex_144nodes_weighted.json,LR_PP_angle_opt.json,6
163,002_7_3_heavyhex_144nodes_weighted.json,RTS_MPS.json,6
53,002_7_3_heavyhex_144nodes_weighted.json,RTS_MPSAer.json,6
323,002_7_3_heavyhex_144nodes_weighted.json,RTS_PP.json,6
